Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Sweden,2022,,50,?,AGM-114 Hellfire,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Rb-17 (AGM-114C) version for coastal defence,0.02,0.8,0.8
Ukraine,United States,2018,,210,?,FGM-148 Javelin,anti-tank missile,210,?,2018,New,Probably second-hand,0.03,6.3,6.3
Ukraine,Netherlands,2022,,2,,SQUIRE,ground surveillance radar,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.2,0.4,0.4
Ukraine,United States,2022,?,31,,M-1A1 Abrams,tank,31,,2023,Second hand,Second-hand; aid after 2002 Russian invasion of Ukraine,1.6,49.6,49.6
Ukraine,Canada,2023,,253,?,AIM-7M Sparrow,long-range air-to-air missile,253,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for SAM systems,0.07,18.22,18.22
Ukraine,Poland,2022,,36,?,BM-21 Grad 122mm,multiple rocket launcher,36,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.24,8.64,8.64
Ukraine,United States,2023,?,1,?,S-70 Black Hawk,transport helicopter,1,?,2023,Second hand,Second-hand; UH-60A version,2.6,2.6,2.6
Ukraine,Portugal,2022,,4,,VM-90P,armoured personnel carrier,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-40.12WM/P version,0.04,0.18,0.18
Ukraine,Poland,2022,,270,?,T-72M1,tank,270,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl T-72M1R version,1.04,280.8,280.8
Ukraine,Spain,2022,,1,,RG-31 Nyala,armoured personnel carrier,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ambulance version,0.07,0.07,0.07
Ukraine,France,2022,,1,,SAMP/T,ABM/SAM system,1,,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine (in cooperation with Italy; incl delivery of launchers from Italy),22,22,22
Ukraine,United States,2022,,100,,BATT,armoured personnel carrier,100,?,2022; 2023,New,$23 m deal,0.16,16,16
Ukraine,United Kingdom,2022,?,100,?,FV-432,armoured personnel carrier,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,12,12
Ukraine,Germany,2022,,3,?,COBRA,artillery locating radar,3,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,12,12
Ukraine,Portugal,2022,,47,?,M-113,armoured personnel carrier,47,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,4.7,4.7
Ukraine,Estonia,2021,,50,?,FGM-148 Javelin,anti-tank missile,50,?,2022,Second hand,Second-hand; aid,0.01,0.6,0.6
Ukraine,France,2022,,50,?,FGM-148 Javelin,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after Russian invasion of Ukraine,0.01,0.6,0.6
Ukraine,France,2022,,,?,Mistral,portable SAM,100,?,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,0,3.6
Ukraine,Spain,2022,,25,?,Aspide,long-range air-to-air missile/SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Spada SAM system,0.07,1.8,1.8
Ukraine,Slovakia,2022,,100,?,Igla,portable SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'air-defence missiles'),0.03,3.2,3.2
Ukraine,Netherlands,2022,,353,?,AIFV-APC,armoured personnel carrier,353,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl YPR-765 APC and YPR-806 ARV version,0.12,42.36,42.36
Ukraine,United Kingdom,2022,,20,?,MXT-MV,armoured personnel carrier,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Husky version,0.06,1.28,1.28
Ukraine,United States,2022,,1000,?,WGU-59 APKWS,air-to-surface missile,1000,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,0.01,10,10
Ukraine,Czechia,2022,,20,?,T-72M1,tank,20,?,2022,Second hand but modernized,Second-hand but modernized before delivery; aid after 2022 Russian invasions of Ukraine,1.72,34.32,34.32
Ukraine,Germany,2022,,294,?,GMLRS,guided rocket,294,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for MLRS MRL,0.03,9.41,9.41
Ukraine,Czechia,2022,,12,,BM-21 Grad 122mm,multiple rocket launcher,12,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.24,2.88,2.88
Ukraine,United Kingdom,2022,,6,,Stormer HVM,mobile SAM system,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,4.8,4.8
Ukraine,United States,2022,,142,,UFH/M-777 155mm,towed gun,142,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-777A2 version,0.4,56.8,56.8
Ukraine,Czechia,2022,,645,,Konkurs,anti-tank missile,645,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'anti-tank missiles'),0.01,5.16,5.16
Ukraine,Spain,2022,,65,?,M-113,armoured personnel carrier,65,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,6.5,6.5
Ukraine,Denmark,2022,,2,?,HCDS,coastal defence system,2,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,8,8
Ukraine,Denmark,2022,,40,?,Harpoon Block-2,anti-ship/land-attack missile,40,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,16,16
Ukraine,Spain,2022,,8,,Model-56 105mm,towed gun,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,1.44,1.44
Ukraine,Norway,2023,,2,,NASAMS-2,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6,12,12
Ukraine,Norway,2022,,23,,M-109A1 155mm,self-propelled gun,23,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109A3GN version,0.44,10.12,10.12
Ukraine,Norway,2023,,5,?,Dingo-2,armoured personnel carrier,5,?,2023,Second hand but modernized,Second-hand but modernized to Dingo CORTEX Typhon version,0.23,1.16,1.16
Ukraine,Germany,2023,?,10,?,Eagle,armoured personnel carrier,10,?,2023,Second hand,Eagle-1 version; second-hand; supplier uncertain; probably from Germany,0.05,0.52,0.52
Ukraine,Germany,2023,,,,BPz-2,armoured recovery vehicle,57,,2023; 2024,Second hand but modernized,Second-hand but modernixed to Wisent-1 MCT AEV version; aid after 2022 Russian invasion of Ukraine,0.92,0,52.67
Ukraine,Croatia,2022,,11,,Mi-17,transport helicopter,11,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8MTV-1 version,2.9,31.9,31.9
Ukraine,United Kingdom,2022,?,14,,Challenger-2,tank,14,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.7,23.8,23.8
Ukraine,United States,2022,,4,,MPQ-64 Sentinel,air-search radar,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,8,8
Ukraine,Netherlands,2022,?,40,?,MIM-104 PAC-2,SAM,40,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; version uncertain (reported as 'Patriot missiles'),0.4,16,16
Ukraine,United Kingdom,2023,,11,,Bronco,armoured personnel carrier,11,?,2023; 2024,Second hand,Second-hand; financed by German aid; Warthog ambulance version,0.12,1.32,1.32
Ukraine,Czechia,2022,,8,?,Mi-24V/Mi-35,combat helicopter,8,?,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.4,27.2,27.2
Ukraine,Czechia,2023,,1,,RM-70 122mm,multiple rocket launcher,1,,2023,Second hand,Second-hand; financed with donations from Czech private persons,0.36,0.36,0.36
Ukraine,Italy,2022,,2,,M-270 MLRS 227mm,multiple rocket launcher,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.48,0.96,0.96
Ukraine,Sweden,2023,,200,,IRIS-T,long-range air-to-air missile,200,?,2024,Second hand,Second-hand; financed by aid from Germany,0.08,16,16
Ukraine,South Korea,2022,,54,,K-9,self-propelled gun chassis,54,?,2022; 2023; 2024,New,Chassis for 54 Krab self-propelled guns from Poland; from Polish production line,0.59,31.86,31.86
Ukraine,United States,2023,,,,MIM-104 PAC-3,ABM missile,650,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.32,0,208
Ukraine,Poland,2022,,150,?,2S1 122mm,self-propelled gun,150,?,2022; 2023,Second hand,Second-hand; incl some as aid after 2022 Russian invasion of Ukraine ,0.4,60,60
Ukraine,United States,2024,,,,MIM-104 PAC-3 MSE,ABM missile,120,?,2024,New,Aid after 2022 Russian invasion of Ukraine,1.5,0,180
Ukraine,Czechia,2022,?,19,,vehicle engine,vehicle engine,19,,2023,New,Tatra T-3D (410hp) diesel engine for 19 CAESAR self-propelled guns from France; originally ordered by Denmark but supplied to Ukraine after 2022 Russian invasion of Ukraine; financed by aid from Denmark,0.08,1.52,1.52
Ukraine,Norway,2023,,2,,NASAMS-2,SAM system,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6,12,12
Ukraine,United States,2022,?,,?,LAV-3,armoured personnel carrier,401,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Stryker version,0.14,0,56.14
Ukraine,Germany,2022,,54,?,vehicle engine,vehicle engine,54,?,2022; 2023; 2024,New,MTU MT-881 (1000hp) diesel engine for 54 Krab self-propelled guns from Poland; possibly from production line in South Korea,0.16,8.64,8.64
Ukraine,Sweden,2023,,25,?,RBS-70,portable SAM,25,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.8,0.8
Ukraine,United Kingdom,2023,,,?,Storm Shadow/SCALP-EG,air-to-surface missile,125,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.26,0,32
