Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Jordan,2023,,60,?,Gepard,self-propelled anti-aircraft gun,60,?,2024,Second hand,Second-hand; financed by USA as aid after 2022 Russian invasion of Ukraine; Cheetah version,3.6,216,216
Ukraine,Estonia,2022,,24,?,FH-70 155mm,towed gun,24,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,9.6,9.6
Ukraine,Lithuania,2022,?,2,,Mi-17,transport helicopter,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mi-8 version,2.9,5.8,5.8
Ukraine,United States,2022,?,,?,Phoenix Ghost Atlas,one-way attack drone,2000,?,2023; 2024,New,,0.02,0,40
Ukraine,Lithuania,2021,,1,,L-39Z Albatros,trainer/combat aircraft,1,,2024,Second hand,Second-hand; aid; L-39ZA version,2,2,2
Ukraine,Australia,2022,,120,,Bushmaster,armoured personnel carrier,120,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 ambulance version,0.14,16.8,16.8
Ukraine,Poland,2022,,54,,Krab 155mm,self-propelled gun,54,?,2022; 2023; 2024,New,EUR650 m deal (partly financed by EU aid),3.75,202.5,202.5
Ukraine,United Kingdom,2022,,90,?,Brimstone,air-to-surface missile,90,?,2022,New,Maritime Brimstone version; aid after 2022 Russian invasion of Ukraine,0.15,13.5,13.5
Ukraine,Italy,2022,,6,,PzH-2000 155mm,self-propelled gun,6,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,10.8,10.8
Ukraine,United Kingdom,2014,,75,,AT-105 Saxon,armoured personnel carrier,75,,2015,Second hand,Second-hand; GBP3.8 m deal,0.08,6,6
Ukraine,United States,2023,,8,,M-88A2 HERCULES,armoured recovery vehicle,8,,2023,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine,0.8,6.4,6.4
Ukraine,Czechia,2022,,6,,One 150,UAV,6,,2022,New,Financed by aid from Luxemburg after 2022 Russian invasion of Ukraine,0.2,1.2,1.2
Ukraine,Latvia,2022,,10,?,Penguin,UAV,10,?,2022,New,UAH651m ($17.5 m) deal; Penguin-C Mk-2 version,0.05,0.5,0.5
Ukraine,United States,2023,,600,?,AIM-9M Sidewinder,short-range air-to-air missile,600,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Ukrainian SAM systems,0.05,28.8,28.8
Ukraine,United States,2018,,2,,Island,patrol boat,2,,2018,Second hand,Second-hand; aid; Ukrainian designation Slavyansk,3.68,7.36,7.36
Ukraine,Slovenia,2022,,28,,M-55S,tank,28,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,25.2,25.2
Ukraine,Greece,2022,,40,,BMP-1,infantry fighting vehicle,40,,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,14.4,14.4
Ukraine,Germany,2022,,26,?,BPz-2,armoured recovery vehicle,22,?,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.56,14.56,12.32
Ukraine,France,2023,,12,,CAESAR 155mm,self-propelled gun,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,5.28,5.28
Ukraine,Poland,2017,,100,?,Warmate,one-way attack drone,100,?,2018,New,,0.01,1,1
Ukraine,Germany,2023,,8,,AIM-7E Sparrow,long-range air-to-air missile,8,,2023,Second hand,Second-hand; RIM-7 Sea Sparrow (SAM) version; financed by Belgian aid,0.06,0.48,0.48
Ukraine,United States,2023,,3,?,I-HAWK,SAM system,3,?,2023,Second hand,Second-hand; aid,14,42,42
Ukraine,United States,2024,?,,,GBU-39 SDB,guided glide bomb,250,?,2024,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine,0.01,0,2
Ukraine,Canada,2023,,1,,Buffel,armoured recovery vehicle,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,0.9,0.9
Ukraine,United States,2023,,5,?,Penguin,UAV,5,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0.1,0.1
Ukraine,UAE,2015,?,10,,Cougar,armoured personnel carrier,10,,2015,New,,0.14,1.4,1.4
Ukraine,UAE,2015,,31,,Spartan,armoured personnel carrier,31,,2015,New,,0.16,4.96,4.96
Ukraine,UAE,2015,?,6,,Shrek,armoured personnel carrier,6,,2015,New,,0.2,1.2,1.2
Ukraine,Canada,2022,,4,,UFH/M-777 155mm,towed gun,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,1.6,1.6
Ukraine,Germany,2022,,2700,?,Strela-2,portable SAM,2700,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,43.2,43.2
Ukraine,Lithuania,2022,,82,?,M-113,armoured personnel carrier,82,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl M-577 command post and probably mortar carrier and artillery observation/command versions,0.1,8.2,8.2
Ukraine,Czechia,2019,,37,,BMP-1,infantry fighting vehicle,37,,2020,Second hand,Second-hand; BVP-1 version,0.36,13.32,13.32
Ukraine,Finland,2023,,6,,HMBV,armoured engineer vehicle,6,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1,6,6
Ukraine,United Kingdom,2022,,15,?,Pinzgauer 6x6,armoured personnel carrier,15,?,2022; 2023,Second hand,Second-hand; incl financed with UK private donations as aid after 2022 Russian invasion of Ukraine,0.06,0.96,0.96
Ukraine,United States,2023,,55,?,M-ATV,armoured personnel carrier,55,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,5.5,5.5
Ukraine,United States,2022,,2400,?,GMLRS,guided rocket,2400,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,0.08,192,192
Ukraine,Czechia,2014,,50,?,BMP-1,infantry fighting vehicle,50,?,2018,Second hand but modernized,Second-hand but modernized to BMP-1AK before delivery; ordered and delivered via Polish company,0.59,29.7,29.7
Ukraine,United States,2022,,,,MIM-23B HAWK,SAM,400,?,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.07,0,27.2
Ukraine,United States,2023,,,,ATACMS Block-1,surface-to-surface missile,50,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use with HIMARS multiple rocket launchers,0.56,0,28
Ukraine,France,2024,?,60,,CAESAR 155mm,self-propelled gun,13,?,2024,New,Financed by aid from other states (incl Denmark; Belgium and Luxemburg),1.1,66,14.3
Ukraine,United States,2023,,4,,M-2A3 Bradley,infantry fighting vehicle,4,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-7A2 FISTV reconnaissance version,0.76,3.04,3.04
Ukraine,Belgium,2022,,4,,MO-120-RT 120mm,mortar,4,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,0.48,0.48
Ukraine,Belgium,2023,,380,?,LMV,armoured personnel carrier,380,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,22.8,22.8
Ukraine,Belgium,2022,?,50,?,MILAN,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.2,0.2
Ukraine,Belgium,2022,?,15,,AIM-120B AMRAAM,long-range air-to-air missile,15,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.16,2.4,2.4
Ukraine,Belgium,2023,,25,?,Mistral,portable SAM,25,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,0.9,0.9
Ukraine,Canada,2023,,12,,AIM-120C AMRAAM,long-range air-to-air missile,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.24,2.88,2.88
Ukraine,Germany,2022,,100,?,DM-702 SMART-155,guided shell,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,1.6,1.6
Ukraine,Canada,2023,,50,,LAV-6,armoured personnel carrier,10,,2024,New,CAD650 m deal; aid; incl 10 ambulance version; delivery planned 2024-2025,0.37,18.5,3.7
Ukraine,Italy,2022,,160,?,ASTER-30,SAM,160,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; ASTER-30 Block-1 version; for SAMP/T SAM system delivered by France in cooperation with Italy,0.4,64,64
Ukraine,Sweden,2023,,50,,CV-90,infantry fighting vehicle,50,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; CV-9040C version,0.6,30,30
Ukraine,Sweden,2023,,10,,Leopard-2A5,tank,10,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Strv-122 version,1.8,18,18
Ukraine,United States,2022,,400,?,M-1117 Guardian,armoured personnel carrier,400,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-1117 version,0.16,64,64
Ukraine,Czechia,2019,,16,,2S1 122mm,self-propelled gun,16,,2019,Second hand,Second-hand,0.4,6.4,6.4
Ukraine,Poland,2018,?,54,?,MT-LB,armoured personnel carrier,54,?,2018; 2019,Second hand,Second-hand,0.1,5.4,5.4
Ukraine,Germany,2023,,3,,Patriot Configuration-3,SAM system,3,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,22,66,66
Ukraine,Romania,2024,,60,?,MIM-104 PAC-2,SAM,60,?,2024,New,Aid after 2022 Russian invasion of Ukraine; GEM-T version,1,60,60
Ukraine,United States,2015,,50,?,HMMWV-UA,armoured personnel carrier,50,,2015; 2021,Second hand,Second-hand; 'Ukrainian Security Assistance Initiative' aid; M-1114 and M-1151 versions,0.05,2.6,2.6
Ukraine,Netherlands,2022,,48,,BvS-10,armoured personnel carrier,48,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,4.8,4.8
Ukraine,Germany,2022,?,2,,Buffel,armoured recovery vehicle,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,1.8,1.8
Ukraine,Czechia,2018,,40,,2S1 122mm,self-propelled gun,40,,2018,Second hand,Second-hand,0.4,16,16
Ukraine,Estonia,2022,,50,?,MILAN,anti-tank missile,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0,0.2,0.2
Ukraine,United States,2023,,200,?,FGM-148 Javelin,anti-tank missile,200,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,0.03,6,6
Ukraine,Spain,2022,?,29,,Leopard-2A4,tank,29,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,46.4,46.4
Ukraine,Czechia,2022,,26,?,DANA 152mm,self-propelled gun,26,?,2022; 2023,Second hand but modernized,Second-hand but modernized before delivery; aid after 2022 Russian invasion of Ukraine; Dana M-2 version or incl Dana M-2 version,0.66,17.16,17.16
Ukraine,United States,2023,,1,?,M-1150 ABV,armoured engineer vehicle,1,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1,1,1
Ukraine,United States,2022,,,,AIM-120C AMRAAM,long-range air-to-air missile,650,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems,0.24,0,156
Ukraine,Germany,2022,,1000,?,IRIS-T SLM,SAM,700,?,2022; 2023; 2024,New,For IRIS-T SLM SAM system,0.4,400,280
Ukraine,United Kingdom,2022,,400,?,ASRAAM,long-range air-to-air missile,400,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use as SAM,0.07,28.8,28.8
Ukraine,Czechia,2022,,56,?,BMP-1,infantry fighting vehicle,56,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Pbv-501A version,0.36,20.16,20.16
Ukraine,United States,2022,,51,?,MMR,multi-role radar,51,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,6.5,331.5,331.5
Ukraine,United States,2022,,,,MaxxPro,armoured personnel carrier,1234,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as 'Mine Resistant Ambush Protected Vehicles; MRAPs'),0.13,0,157.95
Ukraine,United States,2022,,30,,M-992 FAASV,armoured supply vehicle,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,5.4,5.4
Ukraine,Czechia,2023,,15,,T-72M1,tank,15,?,2023,Second hand but modernized,Second-hand but modernized before delivery; financed by Denmark,1.72,25.74,25.74
Ukraine,United States,2022,,3,,Patriot Configuration-3,SAM system,3,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,22,66,66
Ukraine,United States,2022,,37,,Cougar,armoured personnel carrier,37,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,5.18,5.18
Ukraine,United States,2022,,,,AGM-88 HARM,anti-radar missile,140,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,0,14
Ukraine,Italy,2022,,20,?,M-113,armoured personnel carrier,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,2,2
Ukraine,Turkiye,2022,,6,?,T-300,multiple rocket launcher,6,?,2022,New,,1.1,6.6,6.6
Ukraine,Italy,2022,,10,?,FH-70 155mm,towed gun,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,Czechia,2022,,22,?,T-55AM-2,tank,22,?,2022,Second hand,Second-hand; aid after 2022 Russian invasions of Ukraine,0.6,13.2,13.2
Ukraine,United Kingdom,2023,,183,?,Spartan,armoured personnel carrier,183,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,18.3,18.3
Ukraine,United States,2022,,,?,BGM-71F TOW-2B,anti-tank missile,19500,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl for M-2 infantry fighting vehicles,0.01,0,156
Ukraine,Czechia,2022,,20,?,RM-70 Vampire 122mm,multiple rocket launcher,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.38,7.6,7.6
Ukraine,Lithuania,2022,,18,?,M-101A1 105mm,towed gun,18,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.18,3.24,3.24
Ukraine,United Kingdom,2021,?,2,,Sandown,minehunter,2,,2022,Second hand,Second-hand,18,36,36
Ukraine,Netherlands,2022,,200,,Stinger,portable SAM,200,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,6.4,6.4
Ukraine,Slovenia,2023,,20,,Pandur,armoured personnel carrier,20,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,2.4,2.4
Ukraine,United Kingdom,2022,,60,?,L-118 105mm,towed gun,60,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; L-119 version,0.24,14.4,14.4
Ukraine,France,2023,?,12,,CAESAR 155mm,self-propelled gun,12,?,2024,New,Aid after 2022 Russian invasion of Ukraine,1.1,13.2,13.2
Ukraine,United States,2015,,15,?,TPQ-36 Firefinder,artillery locating radar,15,?,2015; 2016; 2017; 2018; 2019; 2021,Second hand,Second-hand; 'Ukraine Security Assistance Initiative' aid,1.2,18,18
Ukraine,Germany,2023,,14,,Leopard-2A4,tank,14,,2024,Second hand but modernized,Second-hand but probably modernized before delivery; financed by EUR165 m aid from Denmark and Netherlands,2.64,36.96,36.96
Ukraine,United States,2019,?,3,,Island,patrol boat,3,?,2021,Second hand,Second-hand; aid,3.68,11.04,11.04
Ukraine,Italy,2023,,40,?,M-113,armoured personnel carrier,40,?,2023,Second hand,Second-hand; financed by aid from Belgium; Luxemburg and Netherlands after 2022 Russian invasion of Ukraine,0.1,4,4
Ukraine,France,2020,,20,,FPB-98,patrol boat,17,?,2023; 2024,New,EUR137 m deal (incl 5 years support; 85% financed with French loans); for border guard; FPB-98 Mk-1 version; incl 5 produced under licence in Ukraine,6.5,130,110.5
Ukraine,Czechia,2022,,24,?,vehicle engine,vehicle engine,10,?,2022; 2023,New,Tatra T-3D-928-70 (436hp) diesel engine for 24 Zuzana-2 self-propelled guns from Slovakia,0.08,1.92,0.8
Ukraine,Poland,2023,,11,?,Mi-24V/Mi-35,combat helicopter,11,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.4,37.4,37.4
Ukraine,Norway,2022,,100,?,Mistral,portable SAM,100,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,3.6,3.6
Ukraine,Poland,2022,,54,?,Krab 155mm,self-propelled gun,54,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,97.2,97.2
Ukraine,United States,2023,,,,MIM-104 PAC-2,SAM,325,?,2023; 2024,Second hand,Second-hand; incl Patriot GEM; GEM-C; GEM-T version; aid after 2022 Russian invasion of Ukraine,0.4,0,130
Ukraine,Poland,2023,?,4,?,ZSU-23-4 Shilka,self-propelled anti-aircraft gun,4,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2.8,11.2,11.2
Ukraine,Germany,2023,,110,,Leopard-1A5,tank,103,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; financed by Denmark; Germany and Netherlands aid,1.04,114.4,107.12
Ukraine,North Macedonia,2023,,12,,Mi-24V/Mi-35,combat helicopter,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.4,40.8,40.8
Ukraine,Germany,2022,,27,,BrPz-1 Biber,armoured bridgelayer,27,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,10.8,10.8
Ukraine,Portugal,2023,,3,,Leopard-2A6,tank,3,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,6,6
Ukraine,Canada,2023,,43,,AIM-9M Sidewinder,short-range air-to-air missile,43,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; probably for NASAMS SAM systems,0.05,2.06,2.06
Ukraine,France,2018,,5,?,H725 Caracal,transport helicopter,5,?,2018; 2019; 2021; 2022,Second hand,Second-hand (but modernized before delivery in Romania); H225 version,3.2,16,16
Ukraine,Canada,2022,?,8,,Leopard-2A4,tank,8,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,12.8,12.8
Ukraine,Slovakia,2022,,30,,BMP-1,infantry fighting vehicle,30,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.36,10.8,10.8
Ukraine,Canada,2022,,208,,Senator,armoured personnel carrier,208,,2022; 2023,New,Aid after 2022 Russian invasion of Ukraine,0.14,29.12,29.12
Ukraine,Romania,2022,,20,?,TAB-71,armoured personnel carrier,20,?,2022; 2023,Second hand,Second-hand; TAB-71M version,0.1,2,2
Ukraine,Canada,2022,,,?,Senator,armoured personnel carrier,1200,?,2022; 2023; 2024,New,Aid after 2022 Russian invasion of Ukraine; incl 190 financed by USA and rest financed by unidentified other states,0.14,0,168
Ukraine,Sweden,2023,?,2,?,Giraffe-75,air-search radar,2,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.6,3.2,3.2
Ukraine,Finland,2023,,24,?,2A36 Giatsint-B 152mm,towed gun,24,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,9.6,9.6
Ukraine,France,2022,,10,,MO-120-RT 120mm,mortar,10,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '120mm mortar'),0.12,1.2,1.2
Ukraine,Germany,2022,,55,?,Gepard,self-propelled anti-aircraft gun,42,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,3.6,198,151.2
Ukraine,Qatar,2023,,15,?,Gepard,self-propelled anti-aircraft gun,15,?,2023,Second hand,Second-hand; financed by Germany as aid after 2022 Russian invasion of Ukraine,3.6,54,54
Ukraine,United Kingdom,2022,,4,?,ARTHUR,artillery locating radar,4,?,2022,Second hand,Second-hand; part of GBP300 m aid after 2022 Russian invasion of Ukraine,1.6,6.4,6.4
Ukraine,Canada,2022,,13,,Gurkha,armoured personnel carrier,13,?,2023,New,Financed with private donations; ambulance version,0.16,2.08,2.08
